,發生時間,發生地點,死亡受傷人數,車種,經度,緯度,data_id
1617,108年11月26日 17時32分00秒,臺中市南屯區楓樹里黎明路一段332號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.628165,24.119257,108a11617
1618,108年11月26日 19時27分00秒,臺南市北區開元路105號前0.0公尺,死亡1;受傷0,計程車-小客車;普通重型-機車,120.21763600000001,23.006524,108a11618
1619,108年11月27日 12時45分00秒,臺南市北門區台17線 147公里口,死亡1;受傷0,腳踏自行車-慢車;營業用-大貨車,120.13428300000001,23.237553,108a11619
1620,108年11月27日 18時39分00秒,屏東縣瑪家鄉三和村三和(屏37縣道)與美園巷口,死亡1;受傷0,普通重型-機車;自用-小客車,120.603047,22.699106,108a11620
1621,108年11月27日 21時26分00秒,苗栗縣頭屋鄉台13線西向(頭屋幹98D8339CC90號電桿前),死亡1;受傷0,普通重型-機車,120.876892,24.582136,108a11621
1622,108年11月28日 03時20分00秒,桃園市觀音區成功路1段口 / 桃園市觀音區忠孝路口,死亡1;受傷2,自用-小客車;其他車-其他車;其他人-人;乘客-人,121.13816200000001,25.055251000000002,108a11622
1623,108年11月28日 09時16分00秒,臺中市北區賴福里進化北路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.67997700000001,24.163213,108a11623
1624,108年11月29日 02時43分00秒,臺南市新營區護鎮里建國路前0.0公尺東側,死亡1;受傷0,自用-小客車,120.296876,23.331038,108a11624
1625,108年11月29日 04時46分51秒,屏東縣潮州鎮太平路口 / 屏東縣潮州鎮太平路口,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.52943400000001,22.563796,108a11625
1626,108年11月29日 05時46分00秒,桃園市桃園區介壽路69號前0.0公尺,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),121.31031599999999,24.98466,108a11626
1627,108年11月29日 15時52分00秒,高雄市大寮區鳳屏一路 / 高雄市大寮區成功路,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,120.39203,22.63616,108a11627
1628,108年11月29日 18時05分00秒,彰化縣福興鄉廈粘村廈粘街7-8號前0.0公尺前,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.40760700000001,24.028792000000003,108a11628
1629,108年11月30日 09時48分00秒,臺北市大安區忠孝東路3段前0.0公尺,死亡1;受傷0,普通重型-機車;計程車-小客車,121.532909,25.042292,108a11629
1630,108年11月30日 13時00分00秒,新北市三峽區茅埔路18之1號前0.0公尺,死亡1;受傷0,普通重型-機車,121.33141100000002,24.922228,108a11630
1631,108年11月30日 23時45分00秒,嘉義縣竹崎鄉和平村台3線278公里500公尺處處),死亡1;受傷1,自用-小客車;乘客-人,120.54616299999999,23.511221,108a11631
1632,108年12月01日 01時20分00秒,南投縣中寮鄉縣139線 48公里北側,死亡1;受傷1,自用-小客車;乘客-人,120.72193100000001,23.892485999999998,108a11632
1633,108年12月01日 03時10分00秒,新北市金山區臺2甲線道路前0.0公尺,死亡1;受傷0,大型重型1(550C.C.以上)-機車,121.613477,25.217844,108a11633
1634,108年12月01日 07時29分00秒,苗栗縣三灣鄉台3線 105公里500.0公尺處,死亡1;受傷0,普通重型-機車;自用-小客車,120.945122,24.618257,108a11634
1635,108年12月01日 10時53分55秒,花蓮縣玉里鎮縣193線 99公里200.0公尺處口,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,121.37001000000001,23.41676,108a11635
1636,108年12月01日 13時52分00秒,新北市烏來區新烏路5段56號前0.0公尺,死亡1;受傷0,普通重型-機車,121.54443700000002,24.87525,108a11636
1637,108年12月01日 18時29分00秒,高雄市大樹區興山路140號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.42642,22.692669,108a11637
1638,108年12月02日 01時30分00秒,嘉義縣太保市國道1號 267公里200.0公尺處南側向外側,死亡1;受傷0,普通重型-機車;自用-小客車;民營客運-大客車;自用-小客車,120.379089,23.474404999999997,108a11638
1639,108年12月02日 11時19分00秒,彰化縣員林市南興里興仁街 / 彰化縣員林市南興里興隆街,死亡1;受傷1,普通重型-機車;普通重型-機車,120.578933,23.962208,108a11639
1640,108年12月02日 22時38分00秒,臺中市梧棲區中正里港埠路二段183號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.538199,24.255178,108a11640
1641,108年12月02日 23時31分00秒,臺中市西屯區何成里臺灣大道二段前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.65288799999999,24.160563,108a11641
1642,108年12月03日 06時20分00秒,臺中市外埔區廍子里土城路前0.0公尺,死亡1;受傷0,普通重型-機車,120.68106999999999,24.344333,108a11642
1643,108年12月03日 11時27分00秒,臺中市烏日區光明里五光路631巷前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,120.633677,24.094808999999998,108a11643
1644,108年12月03日 13時21分00秒,彰化縣秀水鄉曾厝村福陵路118號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.49768999999999,24.024653,108a11644
1645,108年12月03日 21時05分00秒,南投縣中寮鄉爽文村龍南路與龍草路口附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.758251,23.937264000000003,108a11645
1646,108年12月04日 04時07分00秒,桃園市龜山區文化二路2之3號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.368971,25.054681,108a11646
1647,108年12月04日 08時49分00秒,高雄市大社區民族路23-3號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);普通重型-機車,120.355469,22.746955,108a11647
1648,108年12月04日 09時11分29秒,宜蘭縣礁溪鄉六結路151號前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.774492,24.812224,108a11648
1649,108年12月04日 09時30分00秒,新北市泰山區大科路53號前0.0公尺,死亡1;受傷0,大型重型2(250-550C.C.)-機車;營業用-大貨車,121.411824,25.060124,108a11649
1650,108年12月04日 17時25分00秒,高雄市楠梓區吉昌街 / 高雄市楠梓區吉昌街,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.291123,22.715069,108a11650
1651,108年12月04日 21時03分00秒,屏東縣萬巒鄉萬全村褒忠路段(萬巒高幹94電桿),死亡1;受傷1,自用-小客車;乘客-人,120.57363899999999,22.571729,108a11651
1652,108年12月05日 00時40分00秒,高雄市三民區大豐二路 / 高雄市三民區建工路,死亡1;受傷1,大型重型2(250-550C.C.)-機車;行人-人;普通重型-機車,120.33138999999998,22.653312,108a11652
1653,108年12月05日 07時39分00秒,臺中市梧棲區安仁里臺灣大道九段2巷前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.534553,24.250728,108a11653
